,SONG_ID,SONG_TITLE,happy,sad,relaxed,angry,pred
168,30536155,DINOSAUR,0.18755767,0.15801938,0.589674,0.06474886,2
169,30587846,가시나,0.5976765,0.28427428,0.04328172,0.07476755,0
170,30601119,"진자 (ZINZA) (Feat. YDG, 수란)",0.26261017,0.36780527,0.32542208,0.044162475,1
171,30613202,시차 (We Are) (Feat. 로꼬 & GRAY),0.22722036,0.0859662,0.4691711,0.21764226,2
172,30637982,DNA,0.45014054,0.1422123,0.2398268,0.1678204,0
173,30659632,샤방샤방,0.7806728,0.0012702352,0.11296041,0.10509624,0
174,30721801,My Way,0.051797554,0.5862849,0.2119459,0.14997172,1
175,30736437,피카부 (Peek-A-Boo),0.38602716,0.2065052,0.36884603,0.038621504,0
176,30781692,"도박 (Life Is a Gamble) Remix (Feat. pH-1, Sik-K, Double K)",0.50529426,0.06102929,0.3965108,0.03716593,0
177,30816860,뿜뿜,0.8594638,0.013091689,0.09593693,0.03150744,0
178,30844118,Roller Coaster,0.37519315,0.124882445,0.304766,0.19515824,0
179,30928006,중2 수학은 이걸로 끝났다,0.63561267,0.054946724,0.19408739,0.1153532,0
180,30974156,어린 왕자 (Prod. Godic),0.49076092,0.06155007,0.41517642,0.03251262,0
181,30974158,"Like It (Feat. 행주, 보이비)",0.48425993,0.20463507,0.28931633,0.021788491,0
182,31019584,붕붕 (Feat. 식케이) (Prod. GroovyRoom),0.37817144,0.06554954,0.47421172,0.08206742,2
183,31031208,백만송이 장미,0.028473599,0.49042037,0.46357647,0.017529638,1
184,31062863,열애중,0.041901954,0.61033005,0.30875403,0.039014097,1
185,31085237,FAKE LOVE,0.5313243,0.26180416,0.04212557,0.16474591,0
186,31104207,소주한잔,0.010372039,0.76177084,0.17926918,0.04858783,1
187,31131273,뚜두뚜두 (DDU-DU DDU-DU),0.645688,0.04368553,0.13368809,0.17693861,0
188,31151836,Way Back Home,0.0348693,0.034139086,0.9157164,0.015275202,2
189,31266297,DNA,0.45014054,0.1422123,0.2398268,0.1678204,0
190,31304766,이별하러 가는 길,0.05676887,0.49310675,0.20727183,0.24285261,1
191,31314144,가을 타나 봐,0.019754909,0.2758833,0.698299,0.0060627526,2
192,31324607,사랑에 연습이 있었다면 (Prod. 2soo),0.024831919,0.6299452,0.254587,0.09063584,1
193,31373277,내 생에 아름다운,0.021693511,0.7913195,0.07146279,0.11552443,1
194,31388145,너를 만나,0.019649105,0.6859023,0.25085804,0.043590453,1
195,31417871,SOLO,0.094349034,0.052718427,0.84926766,0.0036650407,2
196,31448480,아낙네,0.5914791,0.19413573,0.07425694,0.14012814,0
197,31479002,살기 위해서,0.048167437,0.47655356,0.32096544,0.15431355,1
198,31532643,넘쳐흘러,0.0875273,0.626304,0.16840065,0.11776802,1
199,31565982,여수밤바다,0.008424312,0.41577867,0.53609645,0.039700653,2
200,31583086,죽일 놈 (Guilty),0.055598825,0.61127514,0.11112065,0.22200544,1
201,31608765,멍청이(twit),0.63284063,0.23142374,0.08909582,0.046639856,0
202,31640914,편지,0.009811699,0.8792984,0.10059811,0.010291795,1
203,31651955,"힙합 꼰대 (Feat. CHANGMO, 김효은, Los, Deepflow, 넉살, 영비, Double K, Snacky Chan, Junoflo, pyunny)",0.031013994,0.021297766,0.9467233,0.00096528686,2
204,31668491,고고베베 (gogobebe),0.401618,0.046055563,0.5295563,0.022770006,2
205,31691453,안녕이라는 말,0.04396245,0.6523054,0.19459097,0.109141104,1
206,31703498,시든 꽃에 물을 주듯,0.068487324,0.6360997,0.19626085,0.09915209,1
207,31737197,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),0.62369514,0.084021084,0.27044806,0.021835826,0
208,31829536,사랑이 식었다고 말해도 돼,0.051918056,0.6167366,0.17142873,0.15991688,1
209,31853557,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),0.041687477,0.47142446,0.13504982,0.3518383,1
210,31873020,포장마차,0.048147235,0.53947246,0.26210085,0.15027943,1
211,31921950,커피한잔할래요,0.007148519,0.56068015,0.42701635,0.005155216,1
212,31929663,내 안부,0.070683464,0.55512905,0.23852658,0.1356608,1
213,31960759,서툰 이별을 하려해 (Feat.전상근),0.034549735,0.6297357,0.29780445,0.03791005,1
214,31969182,BUNGEE (Fall in Love),0.6983929,0.074422054,0.09999619,0.12718879,0
215,31984204,안녕,0.01675702,0.58845466,0.36736324,0.027425127,1
216,32057802,Feel Special,0.6894772,0.06743385,0.16425748,0.078831255,0
217,32125782,LION,0.56371814,0.0095623825,0.41902727,0.0076921387,0
218,32143487,Love poem,0.0560545,0.5748581,0.25627136,0.11281602,1
219,32143735,오늘도 빛나는 너에게 (Lullaby Ver.) (Feat. 이라온),0.055925053,0.4670841,0.11698657,0.3600043,1
220,32183386,Blueming,0.42895645,0.039234277,0.4901804,0.041628826,2
221,32224166,너의 번호를 누르고 (Prod. 영화처럼),0.039256405,0.5097943,0.37938616,0.07156316,1
222,32224272,METEOR,0.20923999,0.08430789,0.6275361,0.07891607,2
223,32273582,Psycho,0.41860637,0.10217549,0.32647938,0.15273863,0
224,32273590,음파음파 (Umpah Umpah),0.6249821,0.040352605,0.28647125,0.048193976,0
225,32298623,너를 사랑하고 있어,0.013073907,0.5953077,0.36626315,0.025355343,1
226,32313543,아무노래,0.31537512,0.013921036,0.6612901,0.0094138095,2
227,32361098,돌덩이,0.5575727,0.20747076,0.12598045,0.10897599,0
228,32381408,FIESTA,0.69151556,0.028187029,0.2495933,0.030703917,0
229,32399822,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),0.62369514,0.084021084,0.27044806,0.021835826,0
230,32399825,Dionysus,0.7118934,0.045454994,0.15696353,0.08568811,0
231,32399833,Inner Child,0.31126595,0.20744255,0.23366074,0.24763088,0
232,32399834,친구,0.41830218,0.12074263,0.06417684,0.39677823,0
233,32457751,찐이야,0.9088137,0.00114767,0.02313665,0.06690216,0
234,32473998,좋은 사람 있으면 소개시켜줘,0.018217364,0.54551524,0.4025938,0.033673503,1
235,32486613,처음처럼,0.11673268,0.52032614,0.21183388,0.15110725,1
236,32491274,아로하,0.06973921,0.26236197,0.44326657,0.22463223,2
237,32550316,HOLIDAY,0.019036189,0.2762598,0.6833925,0.02131142,2
238,32578498,에잇(Prod.&Feat. SUGA of BTS),0.4651553,0.1315802,0.20188531,0.20137915,0
239,32646938,깡 Official Remix,0.5677437,0.02721274,0.29690656,0.10813705,0
240,32681306,환상동화 (Secret Story of the Swan),0.5447131,0.072281726,0.36206073,0.020944431,0
241,32720013,How You Like That,0.5278797,0.12284795,0.28836662,0.060905743,0
242,32742995,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",0.014753624,0.8060538,0.06154255,0.11765038,1
243,32748910,Monster,0.6084345,0.012981712,0.2970664,0.08151745,0
244,32790288,바다,0.68327856,0.017928183,0.25074062,0.048052642,0
245,32790516,다시 여기 바닷가,0.7618351,0.0017865178,0.115177855,0.12120028,0
246,32794652,취기를 빌려 (취향저격 그녀 X 산들),0.0017982153,0.47000438,0.5279975,0.00019987723,2
247,32812198,Mad at Disney,0.05481693,0.03605089,0.8988458,0.010286436,2
248,32825454,눈누난나 (NUNU NANA),0.4673005,0.03158332,0.31238192,0.18873419,0
249,32830111,버스안에서 2020,0.54962134,0.06560654,0.097334534,0.28743747,0
250,32833393,덤디덤디 (DUMDi DUMDi),0.7763725,0.03232495,0.15872584,0.032576624,0
251,32845859,애상 (From 쿨 썸머 프로젝트),0.5265419,0.008764719,0.44452518,0.020168373,0
252,32846393,아틀란티스 소녀 (Atlantis Princess),0.62408084,0.13204074,0.20246473,0.041413542,0
253,32860397,운전만해 (We Ride),0.27416295,0.06493845,0.6052234,0.055675235,2
254,32866582,테스형!,0.34575704,0.1557175,0.3384321,0.16009338,0
255,32872978,Dynamite,0.43396875,0.06757509,0.4805816,0.017874436,2
256,32907450,숲의 아이 (Bon voyage),0.18386154,0.33767933,0.45351943,0.02493954,2
257,32925441,골리앗,0.07410586,0.12906104,0.7883096,0.00852371,2
258,32936994,홍연,0.05905319,0.61311334,0.23880325,0.089030206,1
259,32961285,우리서로사랑하지는말자,0.042848844,0.3144145,0.5984227,0.044313807,2
260,32961716,Pretty Savage,0.57958025,0.11523561,0.21589872,0.08928535,0
261,32961718,Lovesick Girls,0.64845824,0.15895186,0.062237035,0.13035287,0
262,32986152,Marry Me,0.004340112,0.82135606,0.17134462,0.0029593394,1
263,32998020,소확행,0.62791497,0.06455206,0.2437834,0.063749485,0
264,33061680,광장동에서,0.19984071,0.59172213,0.06551056,0.14292674,1
265,33061995,밤하늘의 별을(2020),0.10065617,0.22903717,0.635842,0.034464743,2
266,33077588,원해 (Feat. 팔로알토) (Prod. 코드 쿤스트),0.22156334,0.10037935,0.6685415,0.0095157195,2
267,33077590,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),0.4677739,0.08819435,0.3311371,0.11289479,0
268,33077591,Freak (Prod. Slom),0.16195741,0.13419251,0.6871732,0.016676975,2
269,33115806,뿌리 (Feat. JUSTHIS) (Prod. GroovyRoom),0.18940853,0.0619546,0.7360037,0.012632972,2
270,33115809,적외선 카메라,0.37433198,0.31031057,0.26752397,0.047833517,0
